episode,length,total_reward,avg_q,exploration,land,soft_land
0,123,-105.23152316091449,0.21462265,0.9950248756218907,False,False
1,75,-100.99259128463541,0.27519584,0.990074503106359,False,False
2,146,-210.45486164183438,0.6888579,0.98514875930981,False,False
3,135,-53.0332812031334,1.3285856,0.9802475217013037,False,False
4,125,-137.8915177455143,1.7258326,0.9753706683595063,False,False
5,88,-92.96812299779795,1.4228625,0.970518077969658,True,False
6,95,-122.9466847109053,1.1952528,0.9656896298205554,False,False
7,97,-170.8349641780828,1.0698016,0.9608852038015477,False,False
8,113,-339.1842145253736,1.4454029,0.9561046803995501,False,False
9,66,-61.57212167550896,2.533691,0.9513479406960699,False,False
10,125,-332.81125239894845,2.4878197,0.9466148663642487,False,False
11,102,-311.3761669286772,2.3823962,0.9419053396659193,False,False
12,63,-83.4707658450936,2.0296187,0.937219243448676,False,False
13,72,-175.9027441873102,1.7431908,0.9325564611429613,False,False
14,73,-67.68532246094375,1.7955154,0.9279168767591656,False,False
15,102,-139.9761899375789,1.6450716,0.9233003748847419,False,False
16,96,-156.88619487777106,1.4856898,0.9187068406813353,False,False
17,71,-139.23170321553286,1.8403237,0.9141361598819259,False,False
18,116,-65.9907505147792,1.6320713,0.909588218787986,False,False
19,58,-169.84951298029233,1.5420465,0.9050629042666528,False,False
20,85,-108.99706584567761,3.2759087,0.9005601037479133,False,False
21,85,-196.96074113018435,2.1783512,0.8960797052218044,False,False
22,87,-245.94695332984486,2.7324352,0.8916215972356263,False,False
23,96,-401.80937641654384,2.3845356,0.8871856688911706,False,False
24,145,-191.5745307334892,2.1015644,0.8827718098419609,False,False
25,99,-262.516301590637,2.3098922,0.8783799102905084,False,False
26,112,-117.3687991839861,2.6242454,0.8740098609855806,False,False
27,128,-121.0389429267702,2.1676278,0.8696615532194834,False,False
28,107,-93.82454392445992,2.4009223,0.8653348788253566,False,False
29,102,-104.60315665365479,2.0171561,0.8610297301744844,False,False
30,99,-164.6403696997745,3.4240203,0.8567460001736164,False,False
31,123,-84.02626372064535,2.461094,0.8524835822623049,False,False
32,69,-89.17236073496441,2.7902732,0.8482423704102537,False,False
33,101,-180.05233714661625,2.3925521,0.8440222591146804,False,False
34,108,-112.06423557719376,2.164639,0.839823143397692,False,False
35,140,-71.35815344421754,2.432514,0.8356449188036738,False,False
36,71,-123.8244539305729,2.3336346,0.8314874813966904,False,False
37,77,-94.6605441639479,2.4504547,0.827350727757901,False,False
38,1000,-12.636443300219321,3.1246982,0.8232345549829861,True,True
39,114,-346.92837983090305,3.0750942,0.8191388606795883,False,False
40,79,-101.46026147018038,2.968844,0.8150635429647646,False,False
41,68,-149.69251681278342,4.731601,0.8110085004624524,False,False
42,80,-12.692678447162336,3.2866547,0.8069736323009478,False,False
43,182,-97.03663751622508,3.821682,0.8029588381103959,False,False
44,81,-96.4771672158628,3.7567723,0.7989640180202945,True,False
45,87,-253.15207254785196,3.6008968,0.7949890726570096,False,False
46,73,-226.33078124113155,4.079735,0.7910339031413032,False,False
47,108,-351.9308432957389,3.6802764,0.7870984110858739,False,False
48,58,-1.3016406215249674,4.171262,0.7831824985929094,False,False
49,107,-208.21348105294126,4.116582,0.7792860682516513,False,False
50,78,-99.6177393004693,3.6620488,0.7754090231359715,False,False
51,94,-81.85104378112214,4.3558593,0.7715512668019617,False,False
52,101,-94.86798255679666,4.805621,0.7677127032855341,False,False
53,100,-122.1372947637287,4.81982,0.763893237100034,False,False
54,118,-122.18619787597599,4.8642664,0.7600927732338647,False,False
55,124,-330.95219620253897,4.609623,0.7563112171481242,False,False
56,114,-228.97844541397396,4.8064446,0.752548474774253,False,False
57,106,-57.20984711312145,4.5599275,0.7488044525116946,False,False
58,128,-162.06682017678844,4.579854,0.7450790572255668,False,False
59,147,-105.9438015631172,4.993908,0.7413721962443451,False,False
60,95,-135.75250072537906,6.749837,0.7376837773575574,False,False
61,105,-131.89252873456016,6.8998437,0.73401370881349,False,False
62,138,-96.68554277677029,6.2527814,0.7303618993169055,False,False
63,97,-114.56684440032281,6.5352745,0.7267282580267718,False,False
64,92,-100.09642792669982,7.2362623,0.7231126945540018,False,False
65,142,-123.88938086583488,5.813367,0.719515118959206,False,False
66,139,-74.1651967093004,6.3530936,0.7159354417504538,False,False
67,81,-31.58800259264818,6.7257934,0.7123735738810486,False,False
68,145,-249.79513099562658,6.7034783,0.7088294267473121,False,False
69,120,-167.8500809807623,8.1014,0.7053029121863803,False,False
70,69,-78.6966797822114,7.9305077,0.7017939424740103,False,False
71,133,-58.22144565101225,8.214587,0.6983024303223984,False,False
72,129,-156.1932103613864,8.545565,0.6948282888780084,False,False
73,133,-177.43508670832085,7.922928,0.6913714317194114,False,False
74,102,-92.16283264420028,7.9079223,0.6879317728551358,False,False
75,153,-86.74675136170674,8.035276,0.6845092267215283,False,False
76,129,-352.8363846015898,8.164444,0.6811037081806252,False,False
77,65,-79.72739062821813,8.130732,0.6777151325180351,False,False
78,94,-97.98585967532412,9.157518,0.674343415440831,False,False
79,102,-71.58063724494167,9.063687,0.6709884730754538,False,False
80,120,-26.150299337439108,8.780251,0.6676502219656257,False,False
81,117,-26.793563756567437,8.600268,0.6643285790702744,True,False
82,86,-64.80712727458831,8.728253,0.6610234617614672,False,False
83,129,1.1298141903435521,8.997706,0.6577347878223555,False,False
84,101,-52.015674182313106,8.485217,0.6544624754451299,False,False
85,153,-116.37623242802115,9.234949,0.651206443228985,False,False
86,88,-63.28126846487384,9.302748,0.6479666101780946,False,False
87,171,-83.73981464602716,10.682205,0.6447428956995968,False,False
88,130,-56.72799714896394,11.137579,0.6415352196015889,False,False
89,108,-48.41574134847967,11.290689,0.6383435020911333,False,False
90,169,-47.88428279490065,10.895706,0.6351676637722721,True,False
91,123,-90.99099929391937,10.983175,0.6320076256440519,False,False
92,111,-25.51352959882813,11.397368,0.6288633090985591,True,False
