episode,length,total_reward,avg_q,exploration,land,soft_land
0,74,-257.63230672801905,-0.052270792,0.9950248756218907,False,False
1,100,-355.9679903075307,-0.20428102,0.990074503106359,False,False
2,76,-127.51138717784342,-0.21742542,0.98514875930981,False,False
3,119,-113.66143743262272,-0.15458784,0.9802475217013037,False,False
4,119,-74.88206920401423,-0.17263934,0.9753706683595063,False,False
5,87,-209.29713030780263,0.25500485,0.970518077969658,False,False
6,91,-177.19817142164894,0.37513214,0.9656896298205554,False,False
7,118,-100.56463998956286,0.67384917,0.9608852038015477,False,False
8,113,-100.93048472704251,1.0357422,0.9561046803995501,False,False
9,68,-172.95637374298985,1.4143124,0.9513479406960699,False,False
10,69,-167.89338559988363,1.2713692,0.9466148663642487,False,False
11,85,-104.71465625072892,2.6800313,0.9419053396659193,False,False
12,67,-74.03133530566777,2.6730847,0.937219243448676,False,False
13,155,-361.1538250375198,1.2937261,0.9325564611429613,False,False
14,113,-199.32629963235888,1.0372388,0.9279168767591656,False,False
15,62,-78.76834109944748,0.6614075,0.9233003748847419,False,False
16,74,-185.0176749357934,1.3257076,0.9187068406813353,False,False
17,108,-75.67113151065233,1.0870765,0.9141361598819259,False,False
18,134,-358.03147080520125,0.9031515,0.909588218787986,False,False
19,91,-123.2312981620623,0.81959665,0.9050629042666528,False,False
20,60,-93.26501579959891,1.3322623,0.9005601037479133,False,False
21,106,-148.6708478937625,2.2612665,0.8960797052218044,False,False
22,107,-50.15658674170745,1.2350113,0.8916215972356263,False,False
23,98,-113.99997480443591,1.5632885,0.8871856688911706,False,False
24,83,-189.70687867379743,1.5902689,0.8827718098419609,False,False
25,76,-121.4142775776239,0.6233878,0.8783799102905084,False,False
26,109,-109.69083630380993,1.1811455,0.8740098609855806,False,False
27,82,-139.44287332320386,0.6365334,0.8696615532194834,False,False
28,113,-65.91192655395686,0.8587135,0.8653348788253566,False,False
29,87,-100.28231578661239,0.9059763,0.8610297301744844,False,False
30,101,-111.24167497211484,0.38707983,0.8567460001736164,False,False
31,95,-172.39177247499347,1.1505072,0.8524835822623049,False,False
32,81,-112.16347397646278,1.0518368,0.8482423704102537,False,False
33,125,-215.13314817899396,0.79922944,0.8440222591146804,False,False
34,87,-124.00781249955412,0.09079363,0.839823143397692,False,False
35,109,-194.56942465796612,0.4710516,0.8356449188036738,False,False
36,64,-97.09613664756932,0.5184615,0.8314874813966904,False,False
37,98,-175.2972118177081,-0.00951271,0.827350727757901,False,False
38,84,-142.02024939332773,0.09117372,0.8232345549829861,False,False
39,76,-103.92887043495801,-0.0762365,0.8191388606795883,False,False
40,90,-178.21162855737393,0.10655819,0.8150635429647646,False,False
41,136,-350.3671091217502,0.2233825,0.8110085004624524,False,False
42,138,-277.42833500176425,-0.09543863,0.8069736323009478,False,False
43,163,-330.1732173264137,-0.26345682,0.8029588381103959,False,False
44,117,-125.17221330158192,-0.16041559,0.7989640180202945,False,False
45,103,-104.9843493498051,-0.16624486,0.7949890726570096,False,False
46,70,-195.77163126521987,0.14061591,0.7910339031413032,False,False
47,140,-256.5476046117428,-0.1507668,0.7870984110858739,False,False
48,82,-84.69351203506822,-0.7463058,0.7831824985929094,False,False
49,164,-131.03520817917962,-0.18109629,0.7792860682516513,False,False
50,172,-51.4109548825557,-0.88556415,0.7754090231359715,False,False
51,123,-148.15031004881536,-1.0361612,0.7715512668019617,False,False
52,84,-102.50092082036679,-0.7996275,0.7677127032855341,False,False
53,173,-118.95394965508461,-1.2252705,0.763893237100034,False,False
54,161,30.022044468078434,-0.8282198,0.7600927732338647,False,False
55,174,-17.596986351563373,-1.1188852,0.7563112171481242,False,False
56,137,-261.07662588243227,-0.6000721,0.752548474774253,False,False
57,132,-97.56014023832668,-1.018815,0.7488044525116946,False,False
58,81,-70.0911462630331,-2.2185159,0.7450790572255668,False,False
59,84,-90.82419675076906,-1.6999928,0.7413721962443451,False,False
60,167,-186.08124255667093,-1.3970753,0.7376837773575574,False,False
61,130,-57.6399303471388,-1.0894676,0.73401370881349,False,False
62,91,-159.98182891457455,-1.8371738,0.7303618993169055,False,False
63,133,-149.22770922922072,-1.4095366,0.7267282580267718,False,False
64,115,-55.28362741802164,-1.7613049,0.7231126945540018,False,False
65,128,-59.65536156864799,-1.5255876,0.719515118959206,False,False
66,93,-39.7032787449957,-1.0757971,0.7159354417504538,False,False
67,107,4.601535641947223,-1.8667953,0.7123735738810486,False,False
68,115,-241.00721132839863,-1.4899778,0.7088294267473121,False,False
69,151,-87.2446629343544,-1.9475739,0.7053029121863803,False,False
70,138,-83.44714202652062,-1.6519043,0.7017939424740103,False,False
71,134,-102.4019871727173,-1.4672308,0.6983024303223984,False,False
72,113,-121.85570169042145,-1.5679047,0.6948282888780084,False,False
73,155,-30.499015060903602,-0.86657965,0.6913714317194114,True,False
74,115,-69.02214675140971,-1.7785752,0.6879317728551358,False,False
75,170,-8.535819695993922,-0.9029722,0.6845092267215283,False,False
76,84,-91.42741977756026,-1.8173454,0.6811037081806252,False,False
77,192,-249.39382161021746,-1.2421263,0.6777151325180351,False,False
78,143,-120.08980454469045,-1.8293164,0.674343415440831,False,False
79,175,-72.56007155671124,-1.890831,0.6709884730754538,False,False
80,86,-36.344788644309745,0.14923993,0.6676502219656257,False,False
81,97,-47.84078934271207,-0.9469711,0.6643285790702744,False,False
82,121,-0.9089316476923415,-1.2708445,0.6610234617614672,False,False
83,142,-54.20389836048871,-1.2422644,0.6577347878223555,False,False
84,180,-61.64042686068739,-1.0632727,0.6544624754451299,True,False
85,104,-26.080114247722832,-0.9007452,0.651206443228985,False,False
86,188,-111.88780942883582,-1.702534,0.6479666101780946,False,False
87,80,-67.31987649327198,-0.7904727,0.6447428956995968,False,False
88,128,-20.40046296614821,-0.33185187,0.6415352196015889,False,False
89,115,-80.39965144388938,-0.6284223,0.6383435020911333,False,False
90,124,-64.43685148956057,-0.47826585,0.6351676637722721,False,False
91,128,-187.84768642809678,-0.4886033,0.6320076256440519,False,False
92,76,-99.06715088479882,-0.59262,0.6288633090985591,False,False
93,230,7.489001320386748,-0.64878213,0.6257346359189644,False,False
94,226,-7.370810037114964,-0.15368064,0.6226215282775766,True,False
95,156,-84.5064482320594,0.22111773,0.6195239087339071,False,False
96,230,13.263178177210293,-0.117367074,0.6164417002327434,True,False
97,118,-13.764692454491197,-0.5861885,0.6133748261022323,True,False
98,276,-0.2063332632740611,1.0111356,0.6103232100519724,True,False
99,121,-245.6716940063433,0.60980254,0.6072867761711169,False,False
100,183,-21.16379894390353,0.67785496,0.6042654489264846,True,True
101,118,-24.861757625244124,-0.00762589,0.6012591531606812,False,False
102,78,-31.063380309048867,-0.149259,0.5982678140902301,False,False
103,79,-34.10905273654963,0.6818763,0.5952913573037116,False,False
104,134,-23.713414332833466,0.44065493,0.5923297087599121,False,False
105,242,-35.8141903154515,1.1435292,0.5893827947859822,False,False
106,160,-61.44407916223635,0.14054343,0.5864505420756042,False,False
107,162,-96.91384637934682,2.9692378,0.5835328776871684,False,False
108,204,-17.872388140152324,2.2446017,0.5806297290419588,False,False
109,140,-56.76564155731241,2.1066396,0.577741023922347,False,False
110,149,-14.217488042841637,2.0554023,0.5748666904699972,False,False
111,289,-44.82651869059137,2.302229,0.5720066571840768,False,False
112,141,-42.65849899800028,1.6199261,0.5691608529194795,True,False
113,131,-9.657104188258984,4.095243,0.5663292068850543,True,False
114,171,-19.756523452224556,3.254078,0.5635116486418451,False,False
115,172,-30.825650555326007,3.9602458,0.5607081081013385,False,False
116,219,-0.8795635317399615,4.3964834,0.55791851552372,False,False
117,165,-16.463852572413302,4.328759,0.5551428015161394,False,False
118,81,-29.22062884015729,4.272365,0.5523808970309845,False,False
119,111,-98.72251227474166,2.9454017,0.5496327333641637,False,False
120,187,30.007759098754377,5.2322435,0.5468982421533968,True,False
121,115,-6.039179247640689,4.2955513,0.5441773553765142,False,False
122,102,-13.573470539699713,4.718385,0.5414700053497654,True,True
123,231,3.84685667078908,4.4907465,0.5387761247261348,False,False
124,88,-25.77431092343984,4.5814576,0.5360956464936665,False,False
125,154,-38.424605106555504,4.3300376,0.5334285039737976,False,False
126,114,-66.69666090987948,4.865754,0.5307746308196991,False,False
127,78,7.932496740738955,6.0643244,0.5281339610146261,False,False
128,141,10.41059097550503,7.0287046,0.5255064288702748,False,False
129,188,-36.43143772001449,6.525322,0.5228919690251491,False,False
130,76,-53.3045310880089,6.3692613,0.5202905164429344,False,False
131,1000,9.115113381946701,9.971673,0.5177020064108802,False,False
132,1000,75.05811784065104,11.123644,0.5151263745381892,False,False
